OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
7641,No Damage,61089.0,Kilowatt,Lane,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0, LAKESHORE CA 93634,37.2455170453881,-119.192783186013
68283,Destroyed (>50%),165.0,Canyon,Place,Unincorporated,CA,0.0,LNU,Napa,Napa ,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane, , , ,,,,489780.0,1996.0,165 CANYON PL,38.360906816508,-122.260758458503
18392,Destroyed (>50%),6974.0,Millie May,Lane,,CA,,LNU,Solano,,8/16/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,0-10,,637785.0,1990.0,6974 MILLIE MAY LN VACAVILLE CA 95688,38.3973884032453,-122.046868618276
14630,No Damage,2615.0,Summit Lake,Drive,,CA,,LNU,Napa,,9/27/2020 12:00:00 AM,Fire,Combination of Actions,Single Family Residence Single Story,Single Residence,,Metal,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,,416025.0,1987.0,2615 SUMMIT LAKE DR ANGWIN CA 94508,38.6049022997852,-122.475661452844
97222,No Damage,584.0,Ashdale,Court,Camarillo,CA,93010.0,VNC,Ventura,,11/6/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,594839.0,1983.0,"584 ASHDALE CT, CAMARILLO, CA 93010",34.2294544,-119.0851815
98504,No Damage,6810.0,Shaw,Avenue,Mt Baldy,CA,91759.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Non Combustible,No Fence,,,225420.0,1926.0,"6810 SHAW AVE, MT BALDY, CA 91759",34.2393169,-117.6568382
127593,Destroyed (>50%),843.0,Hartzell,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Non Combustible,,,841012.0,2017.0,"843 HARTZELL ST, PACIFIC PALISADES, CA 90272",34.0445668,-118.5197727
60044,Destroyed (>50%),1693.0,Randon,Way,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Unknown,Combustible,Single Pane, , , ,,,,179921.0,,1693 RANDON WAY SANTA ROSA CA 95403,38.4776821253261,-122.754546465512
59322,Destroyed (>50%),3405.0,Adobe Canyon,Road,Unincorporated,CA,0.0,LNU,Sonoma,,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Combustible,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,590197.0,1975.0,3405 ADOBE CANYON RD,38.4491709139828,-122.517549367232
65620,Destroyed (>50%),1613.0,Hopper,Avenue,Santa Rosa,CA,0.0,LNU,Sonoma,Coffey Park,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Unknown,Combustible,Multi Pane, , , ,,,,130832.0,,1613 HOPPER AVE SANTA ROSA CA 95403,38.4798899301258,-122.749325506488
109321,No Damage,2415.0,Brigden,Road,Pasadena,CA,91104.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,,,60766.0,1939.0,"2415 BRIGDEN RD, PASADENA, CA 91104",34.1662681,-118.1006394
62508,Destroyed (>50%),2225.0,Highway 154,,Santa Barbara,CA,0.0,SBC,Santa Barbara,Santa Barbara County,7/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unenclosed,Unknown,Combustible,Unknown, , , ,,,,0.0,,2265 HIGHWAY 154 SANTA BARBARA CA 93105,34.569632960337,-119.952397826696
122783,No Damage,18077.0,Coastline,Drive,Malibu,CA,90265.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Engine Company Actions,Multi Family Residence Multi Story,Multiple Residence,4.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1156416.0,1967.0,"18079 COASTLINE DR, MALIBU, CA 90265",34.0430507,-118.5695791
116850,Destroyed (>50%),45.0,E Palm,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,311680.0,1960.0,"45 E PALM ST, ALTADENA, CA 91001",34.1966937,-118.1453385
103631,No Damage,845.0,Canyon Crest,Drive,Sierra Madre,CA,91024.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,No Eaves,No Vents,Wood,No Windows,Masonry/Concrete,Wood,Combustible,Combustible,,<30',167732.0,1949.0,"845 CANYON CREST DR, SIERRA MADRE, CA 91024",34.1741582,-118.0443815
78285,No Damage,1040.0,Gladycon,Road,Colfax,CA,95713.0,NEU,Placer,,8/4/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,,,93021.0,,1040 GLADYCON RD COLFAX CA 95713,39.1183538797499,-120.963290288547
107976,No Damage,1003.0,Alta Vista,Drive,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Combustible,,30-50',142855.0,1938.0,"1003 ALTA VISTA DR, ALTADENA, CA 91001",34.1966844,-118.1292096
78891,Destroyed (>50%),1.0,Southgate,Drive,Sonora,CA,95370.0,TCU,Tuolumne,,8/26/2021 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Asphalt,Unknown,Unknown,Wood,Single Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,No Fence,,,,,SONORA CA 95370,37.9693139836511,-120.389887738417
60890,Destroyed (>50%),9050.0,Rocky Creek,Road,Lower Lake,CA,95457.0,LNU,Lake,Lower Lake,7/29/2015 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown, , , ,,,,142828.0,,9050 Rocky Creek Road,38.9149695612552,-122.487666881458
80992,No Damage,5011.0,Old Mine,Road,Grizzly Flats,CA,95636.0,AEU,El Dorado,Grizzly Flat ,8/14/2021 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,,,105934.0,,5011 OLD MINE RD GRIZZLY FLATS CA 95636,38.6379255393933,-120.544489120236
25937,No Damage,53905.0,Mines,Road,,CA,,SCU,Santa Clara,,8/18/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,0.0,,55305 MINES RD LIVERMORE CA 94550,37.4639992175066,-121.529553373752
41239,Destroyed (>50%),3469.0,Neal,Road,Paradise Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,Unknown,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,67241.0,1976.0,3469  NEAL RD   PARADISE CA 95969,39.733207624569,-121.65128734238
126822,Destroyed (>50%),1355.0,Monument,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,Non Combustible,,,235062.0,1952.0,"1355 MONUMENT ST, PACIFIC PALISADES, CA 90272",34.0537307,-118.5249175
81194,No Damage,6501.0,Caldor,Road,Somerset,CA,95684.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,No Fence,>30,<30',268648.0,,6501 CALDOR RD SOMERSET CA 95684,38.6104228020922,-120.585401947519
8363,No Damage,0.0,Camp Sierra,Road,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0, SHAVER LAKE CA 93664,37.1936486282225,-119.258629717898
29880,Destroyed (>50%),7726.0,Skyway,Road,Paradise Northwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,,Metal,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,,<30',1144440.0,1962.0,7726  SKYWAY     PARADISE CA 95969,39.7717428936104,-121.608807024097
4205,Destroyed (>50%),227.0,Raccoon ,Court,,CA,0.0,BTU,Butte,,9/9/2020 12:00:00 AM,Fire,,Motor Home,Single Residence,0.0,Asphalt,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,6956.0,1900.0,"277 RACCOON RD, BERRY CREEK CA 95916",39.6251912001857,-121.359863186837
129103,No Damage,21342.0,Colina,Drive,Topanga,CA,90290.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Fire Retardant Drop,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,Composite,Combustible,No Fence,11-20,<30',1300500.0,1978.0,"21342 COLINA DR, TOPANGA, CA 90290",34.0862243,-118.5923191
98688,No Damage,464.0,Swarthout Canyon,Road,Wrightwood,CA,92397.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,558421.0,2003.0,"464 SWARTHOUT CANYON RD, WRIGHTWOOD, CA 92397",34.3668967,-117.6519209
110056,Destroyed (>50%),768.0,E Sacramento ,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Vinyl,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,,<30',410500.0,1950.0,"768 E SACRAMENTO ST, ALTADENA, CA 91001",34.1802782,-118.1346519
14206,No Damage,3600.0,Spring Mountain ,Road,,CA,,LNU,Napa,,9/27/2020 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,Non Combustible,Combustible,,,121627.0,1936.0,3600 SPRING MOUNTAIN RD SAINT HELENA CA 94574,38.520568997744,-122.53172933328
13872,No Damage,311.0,Crystal Springs,Road,,CA,,LNU,Napa,Saint Helena,9/27/2020 12:00:00 AM,Fire,Engine Company Actions,Single Family Residence Single Story,Single Residence,,Wood,Unenclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,>30,>50',4945493.0,2007.0,311 CRYSTAL SPRINGS RD SAINT HELENA CA 94574,38.5529971563837,-122.494740518737
50907,Destroyed (>50%),3084.0,Bedrock ,Lane,,CA,,SHU,Shasta,Redding ,7/23/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,,,80794.0,1984.0,3084 BEDROCK LN REDDING CA 96003,40.5959644262366,-122.41510313056
6952,No Damage,42123.0,Auberry ,Road,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,333218.0,1987.0,42123 AUBERRY RD AUBERRY CA 93602,37.0812656202271,-119.417318528583
12300,No Damage,1184.0,Maple,Lane,,CA,,LNU,Napa,Calistoga,9/27/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,496615.0,,1184 MAPLE LN CALISTOGA CA 94515,38.5620897486017,-122.538058078543
130520,Destroyed (>50%),16036.0,Temecula ,Street,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Combustible,,,1781401.0,2014.0,"16036 TEMECULA ST, PACIFIC PALISADES, CA 90272",34.0457175,-118.536568
43643,Destroyed (>50%),7075.0,Clark ,Road,Paradise Northwest A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Mobile Home Triple Wide,Single Residence,,Asphalt,No Eaves,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,1412010.0,1900.0,7075  CLARK RD   PARADISE CA 95969,39.791777321575,-121.587425322807
123327,No Damage,1271.0,Calle de Sevilla,,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,234879.0,1974.0,"1271 CALLE DE SEVILLA, PACIFIC PALISADES, CA 90272",34.0688128,-118.5590806
69691,Destroyed (>50%),3616.0,Orbetello,Court,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane, , , ,,,,868000.0,,3616 ORBETELLO CT SANTA ROSA CA 95404,38.4830440690142,-122.699195571826
57363,No Damage,8000.0,Wild Horse Valley,Road,Unincorporated,CA,0.0,LNU,Napa,Napa,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Unenclosed,Screened,Combustible,Multi Pane, , , ,,,,198350.0,1990.0,8000 WILD HORSE VALLEY RD,38.3237000531177,-122.199372832758
1823,No Damage,2356.0,Lumpkin ,Road,,CA,0.0,BTU,Butte,Feather Falls ,9/9/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,3185.0,1986.0,"2356 LUMPKIN RD, FEATHER FALLS CA 95966",39.5870806976067,-121.281141003169
130814,Destroyed (>50%),16001.0,Pacific Coast,Highway,Pacific Palisades,CA,90272.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Mobile Home Triple Wide,Single Residence,0.0,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Metal,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,,,138063.0,1962.0,"16001 PACIFIC COAST HWY, PACIFIC PALISADES, CA 90272",34.0387485,-118.5356294
81645,Destroyed (>50%),936.0,Echo Summit North ,Road,South Lake Tahoe,CA,96150.0,AEU,El Dorado,Echo Lake ,8/14/2021 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,>50',54670.0,,936 ECHO SUMMIT RD N SOUTH LAKE TAHOE CA 96150,38.8210916834821,-120.028820816411
91255,Destroyed (>50%),1556.0,Wakefield ,Avenue,Weed,CA,96094.0,SKU,Siskiyou,Lincoln Heights ,9/2/2022 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,,,25879.0,0.0,1556 WAKEFIELD AVE WEED 96094 CA,41.43859833,-122.38794474
77890,No Damage,20590.0,89 State ,Route,Markleeville,CA,96120.0,AEU,Alpine,,7/4/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,,122675.0,,40 MONROE RANCH RD MARKLEEVILLE CA 96120,38.7670790169264,-119.817697433323
7394,Destroyed (>50%),0.0,Big Creek Headquarters ,Other,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,0.0,Metal,Unenclosed,Unscreened,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,,,0.0,0.0, LAKESHORE CA 93634,37.2030217781372,-119.244546694442
34415,Destroyed (>50%),5276.0,Harrison,Road,Paradise Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,,,267000.0,1995.0,5276  HARRISON RD   PARADISE CA 95969,39.7329359638454,-121.576157300549
15492,No Damage,7351.0,English Hills,Road,,CA,,LNU,Solano,,8/16/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,80553.0,1926.0,7351 ENGLISH HILLS RD VACAVILLE CA 95688,38.4180150344947,-122.000831994649
26407,No Damage,113.0,Headwaters ,,,CA,,ORC,Orange,Irvine,10/26/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,,,,,113 HEADWATERS IRVINE CA 92602,33.7585317795076,-117.75498100816
