OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,* CAL FIRE Unit,County,Incident Start Date,* Structure Type,Structure Category,* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude,Structure Age,Log Assessed Value,Fire Risk Score,Month,Fire Season Category,Month Name
33691,Destroyed (>50%),5847.0,Almond ,Street,Paradise Central Southwest A,BTU,Butte,2018-11-08 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,21702.0,1949.0,5847  ALMOND ST   PARADISE CA 95969,39.757130246977,-121.624053692834,69.0,9.985205778820985,4.3,11,Peak Fire Season,November
99051,No Damage,2045.0,Alborada,Drive,Camarillo,VNC,Ventura,2024-11-06 00:00:00,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,298032.0,1999.0,"2045 ALBORADA DR, CAMARILLO, CA 93010",34.2407763,-119.0565476,25.0,12.604959497611548,3.3,11,Peak Fire Season,November
31004,Destroyed (>50%),1148.0,Bille,Road,Paradise Central Southwest B,BTU,Butte,2018-11-08 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,132424.0,1961.0,1148  BILLE RD   PARADISE CA 95969,39.7691514629383,-121.604730816088,57.0,11.793771726412727,6.3,11,Peak Fire Season,November
45038,Destroyed (>50%),903.0,Central Park ,Drive,Paradise Central Southwest B,BTU,Butte,2018-11-08 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,187170.0,1956.0,903  CENTRAL PARK DR   PARADISE CA 95969,39.7661068716608,-121.608574443982,62.0,12.13977791649522,6.3,11,Peak Fire Season,November
6987,No Damage,42070.0,Auberry ,Road,Fresno County,FKU,Fresno,2020-09-04 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0.0,1964.0,   ,37.0796569108757,-119.41973765571,56.0,0.0,3.8,9,Moderate Season,September
7641,No Damage,61089.0,Kilowatt,Lane,Fresno County,FKU,Fresno,2020-09-04 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0.0,1964.0, LAKESHORE CA 93634,37.2455170453881,-119.192783186013,56.0,0.0,3.8,9,Moderate Season,September
68283,Destroyed (>50%),165.0,Canyon,Place,Unincorporated,LNU,Napa,2017-10-08 00:00:00,Single Family Residence Multi Story,Single Residence,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,489780.0,1996.0,165 CANYON PL,38.360906816508,-122.260758458503,21.0,13.101713631404396,2.6,10,Moderate Season,October
18392,Destroyed (>50%),6974.0,Millie May,Lane,Solano County,LNU,Solano,2020-08-16 00:00:00,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,637785.0,1990.0,6974 MILLIE MAY LN VACAVILLE CA 95688,38.3973884032453,-122.046868618276,30.0,13.365758082862492,3.7,8,Peak Fire Season,August
14630,No Damage,2615.0,Summit Lake,Drive,Napa County,LNU,Napa,2020-09-27 00:00:00,Single Family Residence Single Story,Single Residence,Metal,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,416025.0,1987.0,2615 SUMMIT LAKE DR ANGWIN CA 94508,38.6049022997852,-122.475661452844,33.0,12.938503037290356,2.8,9,Moderate Season,September
97222,No Damage,584.0,Ashdale,Court,Camarillo,VNC,Ventura,2024-11-06 00:00:00,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,594839.0,1983.0,"584 ASHDALE CT, CAMARILLO, CA 93010",34.2294544,-119.0851815,41.0,13.29604774080262,3.3,11,Peak Fire Season,November
98504,No Damage,6810.0,Shaw,Avenue,Mt Baldy,BDU,San Bernardino,2024-09-08 00:00:00,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Non Combustible,No Fence,225420.0,1926.0,"6810 SHAW AVE, MT BALDY, CA 91759",34.2393169,-117.6568382,98.0,12.325725043949836,3.7,9,Moderate Season,September
60044,Destroyed (>50%),1693.0,Randon,Way,Santa Rosa,LNU,Sonoma,2017-10-08 00:00:00,Single Family Residence Multi Story,Single Residence,Fire Resistant,Unknown,Unknown,Combustible,Single Pane, , , ,No Fence,179921.0,1964.0,1693 RANDON WAY SANTA ROSA CA 95403,38.4776821253261,-122.754546465512,53.0,12.100278702622992,4.6,10,Moderate Season,October
65620,Destroyed (>50%),1613.0,Hopper,Avenue,Santa Rosa,LNU,Sonoma,2017-10-08 00:00:00,Single Family Residence Multi Story,Single Residence,Fire Resistant,Unenclosed,Unknown,Combustible,Multi Pane, , , ,No Fence,130832.0,1964.0,1613 HOPPER AVE SANTA ROSA CA 95403,38.4798899301258,-122.749325506488,53.0,11.781676979762544,4.6,10,Moderate Season,October
109321,No Damage,2415.0,Brigden,Road,Pasadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,60766.0,1939.0,"2415 BRIGDEN RD, PASADENA, CA 91104",34.1662681,-118.1006394,86.0,11.014802157447122,4.7,1,Peak Fire Season,January
62508,Destroyed (>50%),2225.0,Highway 154,Road,Santa Barbara,SBC,Santa Barbara,2017-07-08 00:00:00,Utility Misc Structure,Other Minor Structure,Fire Resistant,Unenclosed,Unknown,Combustible,Unknown, , , ,No Fence,0.0,1964.0,2265 HIGHWAY 154 SANTA BARBARA CA 93105,34.569632960337,-119.952397826696,53.0,0.0,4.6,7,Moderate Season,July
116850,Destroyed (>50%),45.0,E Palm,Street,Altadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,311680.0,1960.0,"45 E PALM ST, ALTADENA, CA 91001",34.1966937,-118.1453385,65.0,12.649735507850052,4.8,1,Peak Fire Season,January
103631,No Damage,845.0,Canyon Crest,Drive,Sierra Madre,LAC,Los Angeles,2025-01-07 08:02:01,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,No Vents,Wood,No Windows,Masonry/Concrete,Wood,Combustible,Combustible,167732.0,1949.0,"845 CANYON CREST DR, SIERRA MADRE, CA 91024",34.1741582,-118.0443815,76.0,12.030128708416884,3.7,1,Peak Fire Season,January
78285,No Damage,1040.0,Gladycon,Road,Colfax,NEU,Placer,2021-08-04 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,93021.0,1964.0,1040 GLADYCON RD COLFAX CA 95713,39.1183538797499,-120.963290288547,57.0,11.440591303299476,4.7,8,Peak Fire Season,August
107976,No Damage,1003.0,Alta Vista,Drive,Altadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Combustible,142855.0,1938.0,"1003 ALTA VISTA DR, ALTADENA, CA 91001",34.1966844,-118.1292096,87.0,11.86959240887696,4.8,1,Peak Fire Season,January
78891,Destroyed (>50%),1.0,Southgate,Drive,Sonora,TCU,Tuolumne,2021-08-26 00:00:00,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unknown,Unknown,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,164837.0,1964.0,SONORA CA 95370,37.9693139836511,-120.389887738417,57.0,12.012718452401716,3.8,8,Peak Fire Season,August
60890,Destroyed (>50%),9050.0,Rocky Creek,Road,Lower Lake,LNU,Lake,2015-07-29 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown, , , ,No Fence,142828.0,1964.0,9050 Rocky Creek Road,38.9149695612552,-122.487666881458,51.0,11.869403389501912,3.6,7,Moderate Season,July
80992,No Damage,5011.0,Old Mine,Road,Grizzly Flats,AEU,El Dorado,2021-08-14 00:00:00,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,Wood,Combustible,No Fence,105934.0,1964.0,5011 OLD MINE RD GRIZZLY FLATS CA 95636,38.6379255393933,-120.544489120236,57.0,11.570580977458391,3.7,8,Peak Fire Season,August
25937,No Damage,53905.0,Mines,Road,Santa Clara County,SCU,Santa Clara,2020-08-18 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0.0,1964.0,55305 MINES RD LIVERMORE CA 94550,37.4639992175066,-121.529553373752,56.0,0.0,3.8,8,Peak Fire Season,August
41239,Destroyed (>50%),3469.0,Neal,Road,Paradise Southwest B,BTU,Butte,2018-11-08 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,67241.0,1976.0,3469  NEAL RD   PARADISE CA 95969,39.733207624569,-121.65128734238,42.0,11.116053331280083,6.3,11,Peak Fire Season,November
126822,Destroyed (>50%),1355.0,Monument,Street,Pacific Palisades,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,235062.0,1952.0,"1355 MONUMENT ST, PACIFIC PALISADES, CA 90272",34.0537307,-118.5249175,73.0,12.367608842304287,4.8,1,Peak Fire Season,January
81194,No Damage,6501.0,Caldor,Road,Somerset,AEU,El Dorado,2021-08-14 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,No Fence,268648.0,1964.0,6501 CALDOR RD SOMERSET CA 95684,38.6104228020922,-120.585401947519,57.0,12.501160973834759,3.7,8,Peak Fire Season,August
8363,No Damage,0.0,Camp Sierra,Road,Fresno County,FKU,Fresno,2020-09-04 00:00:00,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0.0,1964.0, SHAVER LAKE CA 93664,37.1936486282225,-119.258629717898,56.0,0.0,3.8,9,Moderate Season,September
4205,Destroyed (>50%),227.0,Raccoon ,Court,Butte County,BTU,Butte,2020-09-09 00:00:00,Motor Home,Single Residence,Asphalt,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,6956.0,1900.0,"277 RACCOON RD, BERRY CREEK CA 95916",39.6251912001857,-121.359863186837,120.0,8.847503625923641,4.3,9,Moderate Season,September
98688,No Damage,464.0,Swarthout Canyon,Road,Wrightwood,BDU,San Bernardino,2024-09-08 00:00:00,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,558421.0,2003.0,"464 SWARTHOUT CANYON RD, WRIGHTWOOD, CA 92397",34.3668967,-117.6519209,21.0,13.23287022793501,2.8,9,Moderate Season,September
110056,Destroyed (>50%),768.0,E Sacramento ,Street,Altadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Vinyl,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,410500.0,1950.0,"768 E SACRAMENTO ST, ALTADENA, CA 91001",34.1802782,-118.1346519,75.0,12.925133643925246,3.8,1,Peak Fire Season,January
14206,No Damage,3600.0,Spring Mountain ,Road,Napa County,LNU,Napa,2020-09-27 00:00:00,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,Non Combustible,Combustible,121627.0,1936.0,3600 SPRING MOUNTAIN RD SAINT HELENA CA 94574,38.520568997744,-122.53172933328,84.0,11.708722485165607,3.7,9,Moderate Season,September
50907,Destroyed (>50%),3084.0,Bedrock ,Lane,Redding,SHU,Shasta,2018-07-23 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,80794.0,1984.0,3084 BEDROCK LN REDDING CA 96003,40.5959644262366,-122.41510313056,34.0,11.299670361406347,6.3,7,Moderate Season,July
6952,No Damage,42123.0,Auberry ,Road,Fresno County,FKU,Fresno,2020-09-04 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,333218.0,1987.0,42123 AUBERRY RD AUBERRY CA 93602,37.0812656202271,-119.417318528583,33.0,12.71655521045821,3.8,9,Moderate Season,September
12300,No Damage,1184.0,Maple,Lane,Napa County,LNU,Napa,2020-09-27 00:00:00,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,496615.0,1964.0,1184 MAPLE LN CALISTOGA CA 94515,38.5620897486017,-122.538058078543,56.0,13.11557237062699,2.8,9,Moderate Season,September
123327,No Damage,1271.0,Calle de Sevilla,Road,Pacific Palisades,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Multi Story,Single Residence,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,234879.0,1974.0,"1271 CALLE DE SEVILLA, PACIFIC PALISADES, CA 90272",34.0688128,-118.5590806,51.0,12.366830024408287,3.3,1,Peak Fire Season,January
57363,No Damage,8000.0,Wild Horse Valley,Road,Unincorporated,LNU,Napa,2017-10-08 00:00:00,Single Family Residence Multi Story,Single Residence,Fire Resistant,Unenclosed,Screened,Combustible,Multi Pane, , , ,No Fence,198350.0,1990.0,8000 WILD HORSE VALLEY RD,38.3237000531177,-122.199372832758,27.0,12.19779346752291,4.6,10,Moderate Season,October
1823,No Damage,2356.0,Lumpkin ,Road,Butte County,BTU,Butte,2020-09-09 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,3185.0,1986.0,"2356 LUMPKIN RD, FEATHER FALLS CA 95966",39.5870806976067,-121.281141003169,34.0,8.066521490469993,3.8,9,Moderate Season,September
130814,Destroyed (>50%),16001.0,Pacific Coast,Highway,Pacific Palisades,LAC,Los Angeles,2025-01-07 08:02:01,Mobile Home Triple Wide,Single Residence,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Metal,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,138063.0,1962.0,"16001 PACIFIC COAST HWY, PACIFIC PALISADES, CA 90272",34.0387485,-118.5356294,63.0,11.835472624748089,4.2,1,Peak Fire Season,January
81645,Destroyed (>50%),936.0,Echo Summit North ,Road,South Lake Tahoe,AEU,El Dorado,2021-08-14 00:00:00,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,54670.0,1964.0,936 ECHO SUMMIT RD N SOUTH LAKE TAHOE CA 96150,38.8210916834821,-120.028820816411,57.0,10.909088683289344,3.7,8,Peak Fire Season,August
91255,Destroyed (>50%),1556.0,Wakefield ,Avenue,Weed,SKU,Siskiyou,2022-09-02 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,25879.0,1964.0,1556 WAKEFIELD AVE WEED 96094 CA,41.43859833,-122.38794474,58.0,10.161225748614838,3.7,9,Moderate Season,September
77890,No Damage,20590.0,89 State ,Route,Markleeville,AEU,Alpine,2021-07-04 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,122675.0,1964.0,40 MONROE RANCH RD MARKLEEVILLE CA 96120,38.7670790169264,-119.817697433323,57.0,11.717302012545014,3.8,7,Moderate Season,July
7394,Destroyed (>50%),0.0,Big Creek Headquarters ,Other,Fresno County,FKU,Fresno,2020-09-04 00:00:00,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,Unscreened,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,0.0,1964.0, LAKESHORE CA 93634,37.2030217781372,-119.244546694442,56.0,0.0,3.8,9,Moderate Season,September
34415,Destroyed (>50%),5276.0,Harrison,Road,Paradise Southeast B,BTU,Butte,2018-11-08 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,267000.0,1995.0,5276  HARRISON RD   PARADISE CA 95969,39.7329359638454,-121.576157300549,23.0,12.495007682693725,4.2,11,Peak Fire Season,November
15492,No Damage,7351.0,English Hills,Road,Solano County,LNU,Solano,2020-08-16 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,80553.0,1926.0,7351 ENGLISH HILLS RD VACAVILLE CA 95688,38.4180150344947,-122.000831994649,94.0,11.296683045969317,3.8,8,Peak Fire Season,August
26407,No Damage,113.0,Headwaters ,Road,Irvine,ORC,Orange,2020-10-26 00:00:00,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Non Combustible,164837.0,1964.0,113 HEADWATERS IRVINE CA 92602,33.7585317795076,-117.75498100816,56.0,12.012718452401716,3.3,10,Moderate Season,October
130056,Destroyed (>50%),912.0,Iliff,Street,Pacific Palisades,LAC,Los Angeles,2025-01-07 08:02:01,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,547244.0,2005.0,"912 ILIFF ST, PACIFIC PALISADES, CA 90272",34.0463511,-118.5183685,20.0,13.21265187875132,4.8,1,Peak Fire Season,January
28433,No Damage,16162.0,Jackson Ranch ,Road,Orange County,ORC,Orange,2020-12-02 00:00:00,Mixed Commercial/Residential,Mixed Commercial/Residential,Tile,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,170196.0,1986.0,16162 JACKSON RANCH RD SILVERADO CA,33.728900250246,-117.648205376011,34.0,12.044711868644091,2.3,12,Low Fire Season,December
69721,Destroyed (>50%),8151.0,West Murray creek,Road,Mountain Ranch,TCU,Calaveras,2015-09-09 00:00:00,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Unknown,Combustible,Unknown, , , ,No Fence,122739.0,1964.0,8151 W MURRAY CREEK RD MOUNTAIN RANCH CA 95246,38.2376452202039,-120.580569310429,51.0,11.717823575943088,6.1,9,Moderate Season,September
118575,No Damage,1063.0,N Vinedo,Avenue,Pasadena,LAC,Los Angeles,2025-01-07 08:02:01,Utility Misc Structure,Other Minor Structure,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,147368.0,1928.0,"1063 N VINEDO AVE, PASADENA, CA 91107",34.164607,-118.0954425,97.0,11.900694924542703,4.8,1,Peak Fire Season,January
80674,Destroyed (>50%),7084.0,W Pinehaven ,Drive,Somerset,AEU,El Dorado,2021-08-14 00:00:00,Utility Misc Structure,Other Minor Structure,Metal,Unknown,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,10530.0,1964.0,7084 W PINE HAVEN DR SOMERSET CA 95684,38.6450591330563,-120.526760700119,57.0,9.262078567380597,2.8,8,Peak Fire Season,August
114212,No Damage,1579.0,New York,Drive,Altadena,LAC,Los Angeles,2025-01-07 08:02:01,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,251443.0,1924.0,"1579 NEW YORK DR, ALTADENA, CA 91001",34.1787745,-118.1180127,101.0,12.434975579712713,4.8,1,Peak Fire Season,January
115519,No Damage,1108.0,E Altadena ,Drive,Altadena,LAC,Los Angeles,2025-01-07 08:02:01,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,39951.0,1950.0,"1108 E ALTADENA DR, ALTADENA, CA 91001",34.1899269,-118.1278691,75.0,10.595434012519554,4.8,1,Peak Fire Season,January
85737,Destroyed (>50%),209.0,Jessie,Street,Greenville,LMU,Plumas,2021-07-13 00:00:00,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,14087.0,1964.0,121 JESSIE ST GREENVILLE CA 95947,40.140256072099,-120.947428745457,57.0,9.553078650176042,4.8,7,Moderate Season,July
